2017-07-19 21:31:10.237 INFO [main]com.lin.controller.test.responseSuccess():102 -输出结果：{"status":{"code":0,"mse":"succ"},"data":{"taskid":192,"tableName":"tableName"},"isError":false,"errorMsg":""}
2017-07-19 21:32:28.234 INFO [main]com.lin.controller.test.responseSuccess():96 -后端返回对象：{"code":0,"mse":"succ"}
2017-07-19 21:32:28.250 INFO [main]com.lin.controller.test.responseSuccess():100 -后端返回数据：{"code":0,"mse":"succ"}
2017-07-19 21:32:28.250 INFO [main]com.lin.controller.test.responseSuccess():104 -输出结果：{"code":0,"mse":"succ","isError":false,"errorMsg":""}
2017-07-19 21:32:28.250 INFO [main]com.lin.controller.test.responseSuccess():96 -后端返回对象：{"status":{"code":0,"mse":"succ"},"data":{"taskid":192,"tableName":"tableName"}}
2017-07-19 21:32:28.250 INFO [main]com.lin.controller.test.responseSuccess():100 -后端返回数据：{"status":{"code":0,"mse":"succ"},"data":{"taskid":192,"tableName":"tableName"}}
2017-07-19 21:32:28.250 INFO [main]com.lin.controller.test.responseSuccess():104 -输出结果：{"status":{"code":0,"mse":"succ"},"data":{"taskid":192,"tableName":"tableName"},"isError":false,"errorMsg":""}
2017-07-19 21:39:08.510 INFO [main]com.lin.controller.test.responseSuccess():91 -后端返回对象：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}]}
2017-07-19 21:39:08.510 INFO [main]com.lin.controller.test.responseSuccess():95 -后端返回数据：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}]}
2017-07-19 21:39:08.510 INFO [main]com.lin.controller.test.responseSuccess():99 -输出结果：{"fan":[{"taskid":192,"tableName":"tableName"},{"code":0,"mse":"succ"}],"isError":false,"errorMsg":""}
2017-07-19 21:41:29.764 INFO [main]com.lin.controller.test.responseSuccess():93 -后端返回对象：{"fan":[{},{"code":0,"mse":"succ"}]}
2017-07-19 21:41:29.764 INFO [main]com.lin.controller.test.responseSuccess():97 -后端返回数据：{"fan":[{},{"code":0,"mse":"succ"}]}
2017-07-19 21:41:29.764 INFO [main]com.lin.controller.test.responseSuccess():101 -输出结果：{"fan":[{},{"code":0,"mse":"succ"}],"isError":false,"errorMsg":""}
2017-07-19 21:41:51.765 INFO [main]com.lin.controller.test.responseSuccess():93 -后端返回对象：{"fan":[{},{"code":1,"mse":"succ"}]}
2017-07-19 21:41:51.765 INFO [main]com.lin.controller.test.responseSuccess():97 -后端返回数据：{"fan":[{},{"code":1,"mse":"succ"}]}
2017-07-19 21:41:51.765 INFO [main]com.lin.controller.test.responseSuccess():101 -输出结果：{"fan":[{},{"code":1,"mse":"succ"}],"isError":false,"errorMsg":""}
